Title,Price,Region,Bedrooms,Floor Area,Lot Area,URL,Image Link,Barangay,Town/City,Longitude,Latitude,price_per_sqm,id,Price_log
2 Storey 4 Bedrooms House for Sale in Gatchalian 2 Las Piñas near C5 Extension,7300000,Metro Manila,3,135,69,https://www.lamudi.com.ph/2-storey-4-bedrooms-house-for-sale-in-gatchalian-2-168247991361.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/130545df827314.webp,Manuyo Dos,Las Piñas,120.987483,14.461456,105797.10144927536,10562,15.80338490611862
2 Storey brand new modern design townhouse for sale in Pilar Village Las Pinas,6899000,Metro Manila,3,101,81,https://www.lamudi.com.ph/2-storey-brand-new-modern-design-townhouse-for-sal-167888812747.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/a0668eb5c2a3cb.webp,Pilar,Las Piñas,121.01301,14.42922,85172.83950617284,10562,15.746887031528246
Reasonable price For Sale Townhouse in Angela Village Las Pinas City,3900000,Metro Manila,2,80,55,https://www.lamudi.com.ph/reasonable-price-for-sale-townhouse-in-angela-vill-167629190648.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/04c3b050295fe1.webp,Talon Kuatro,Las Piñas,121.00013,14.43739,70909.09090909091,10562,15.176487111099874
5 Bedrooms Single Brand New House in BF Resort Village Las Piñas City,16000000,Metro Manila,5,250,204,https://www.lamudi.com.ph/5-bedrooms-single-brand-new-house-in-bf-resort-vil-168248165173.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/c408cce1f42feb.webp,Talon Uno,Las Piñas,120.985214,14.438526,78431.37254901961,10562,16.588099280204055
5 Bedrooms Brand New Design House in Bf Resort Village Las Piñas City,14000000,Metro Manila,5,225,137,https://www.lamudi.com.ph/5-bedrooms-brand-new-design-house-in-bf-resort-vil-168371611861.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/0bca8980dd2338.webp,Talon Dos,Las Piñas,120.985214,14.438526,102189.7810218978,10562,16.454567887579532
For Sale Spacious Modern Design Three (3) Storey Duplex in Royal South Las Piñas,7300000,Metro Manila,3,130,52,https://www.lamudi.com.ph/for-sale-spacious-modern-design-three-3-storey-dup-16824058650.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/ecb0d4423ad1c3.webp,Talon Singko,Las Piñas,120.996723,14.422561,140384.61538461538,10562,15.80338490611862
Modern Bungalow House in BF Resort Village Las Piñas City,11000000,Metro Manila,4,165,180,https://www.lamudi.com.ph/for-sale-end-unit-modern-design-brand-new-house-in-bf-resort-village-las-pinas-2.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/6954f2b4850a8d.webp,Talon Uno,Las Piñas,120.987165,14.446596,61111.11111111111,10562,16.213405830762646
BRAND NEW TOWNHOUSE WITH VERY ACCESSIBLE LOCATION GOING TO SKYWAY,14000000,Metro Manila,3,210,120,https://www.lamudi.com.ph/brand-new-townhouse-with-very-accessible-location-168073602992.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/e0d4b842d6a086.webp,Don Bosco,Parañaque,121.024909,14.482705,116666.66666666669,10562,16.454567887579532
"Corner Single House and Lot For Sale in BF Resort Village, Las Piñas City",9500000,Metro Manila,3,145,128,https://www.lamudi.com.ph/corner-single-house-and-lot-for-sale-in-bf-resort-168147335027.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/55096762c22d08.webp,Talon Dos,Las Piñas,120.985214,14.438526,74218.75,10562,16.06680235657077
Well Maintained With Impressive Lay Out House In Bf Resort With Pool,24900000,Metro Manila,5,450,350,https://www.lamudi.com.ph/well-maintained-with-impressive-lay-out-house-in-b-168362391198.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/32fef50f99e134.webp,Talon Dos,Las Piñas,120.985214,14.438526,71142.85714285714,10562,17.030378361434938
